SongID,24hrMark,MaxRank,dates,TimeInHours,TimeInPlays,RankOutOfN,ValueOutOf1,dHours,dPlays,dRank,dValue,TotaldTime,TotaldPlays,TotaldRank,TotaldValue,SongName
1,36,112,August 12th 2013,7.67,86,112,0.6639999999999999,0,0,0,0,NA,NA,NA,NA,21 Guns
1,36,112,September 4th 2013,7.67,86,NA,NA,0,0,0,0,0,0,0,0,21 Guns
1,36,112,September 29th 2013,7.67,86,NA,NA,0,0,0,0,0,0,0,0,21 Guns
1,36,112,October 17th 2013,7.67,86,NA,NA,0,0,0,0,0,0,0,0,21 Guns
1,36,112,November 9th 2013,7.67,86,NA,NA,0.62,7,-69,0.062,0.62,7,-69,0.062,21 Guns
1,36,112,December 1st 2013,8.29,93,181,0.6,5.53,62,58,0.14,6.15,69,-11,0.202,21 Guns
1,36,112,January 1st 2014,13.82,155,123,0.74,0.62,7,-1,0.012,6.78,76,-12,0.214,21 Guns
1,36,112,February 1st 2014,14.45,162,124,0.752,0.27,3,-11,-0.002,7.04,79,-23,0.212,21 Guns
1,36,112,March 10th 2014,14.71,165,135,0.75,0.71,8,7,0.025,7.76,87,-16,0.237,21 Guns
1,36,112,April 20th 2014,15.43,173,128,0.775,0.27,3,-14,-0.006,8.03,90,-30,0.232,21 Guns
1,36,112,May 31st 2014,15.69,176,142,0.769,0.62,7,-1,0.009,8.65,97,-31,0.241,21 Guns
1,36,112,June 30th 2014,16.32,183,143,0.779,0.71,8,3,0.013,9.36,105,-28,0.254,21 Guns
1,36,112,July 31st 2014,17.03,191,140,0.792,0.45,5,-7,-0.002,9.81,110,-35,0.252,21 Guns
1,36,112,August 31st 2014,17.48,196,147,0.79,0.09,1,-10,0.002,9.9,111,-45,0.254,21 Guns
1,36,112,September 30th 2014,17.57,197,157,0.792,0.98,11,5,0.014,10.88,122,-40,0.268,21 Guns
1,36,112,October 31st 2014,18.55,208,152,0.806,0.54,6,4,0.009,11.41,128,-36,0.277,21 Guns
1,36,112,November 30th 2014,19.08,214,148,0.815,0.27,3,-3,0.004,11.68,131,-39,0.28,21 Guns
1,36,112,December 31st 2014,19.35,217,151,0.818,0.45,5,-8,-0.005,12.13,136,-47,0.275,21 Guns
1,36,112,January 31st 2015,19.8,222,159,0.813,0.18,2,-4,-0.001,12.31,138,-51,0.274,21 Guns
1,36,112,February 28th 2015,19.97,224,163,0.812,0.18,2,-4,-0.001,12.48,140,-55,0.273,21 Guns
1,36,112,March 31st 2015,20.15,226,167,0.811,0.18,2,-1,0.001,12.66,142,-56,0.274,21 Guns
1,36,112,April 30th 2015,20.33,228,168,0.812,0.18,2,-5,-0.003,12.84,144,-61,0.271,21 Guns
1,36,112,May 31st 2015,20.51,230,173,0.809,0.36,4,-2,0,13.2,148,-63,0.272,21 Guns
1,36,112,June 30th 2015,20.87,234,175,0.81,0.09,1,-7,-0.005,13.29,149,-70,0.267,21 Guns
1,36,112,July 31st 2015,20.95,235,182,0.805,0,0,-12,-0.01,13.29,149,-82,0.257,21 Guns
1,36,112,August 31st 2015,20.95,235,194,0.795,0.45,5,1,0.003,13.73,154,-81,0.261,21 Guns
1,36,112,September 30th 2015,21.4,240,193,0.799,0.27,3,-4,-0.002,14,157,-85,0.258,21 Guns
1,36,112,October 31st 2015,21.67,243,197,0.796,0.27,3,-4,-0.003,14.27,160,-89,0.255,21 Guns
1,36,112,November 30th 2015,21.94,246,201,0.793,0.36,4,-3,-0.002,14.62,164,-92,0.253,21 Guns
1,36,112,December 31st 2015,22.29,250,204,0.791,0,0,-11,-0.008,14.62,164,-103,0.246,21 Guns
1,36,112,January 31st 2016,22.29,250,215,0.783,0,0,-12,-0.011,14.62,164,-115,0.235,21 Guns
1,36,112,February 29th 2016,22.29,250,227,0.773,0,0,-8,-0.006,14.62,164,-123,0.229,21 Guns
1,36,112,March 31st 2016,22.29,250,235,0.767,0.18,2,-9,-0.008,14.8,166,-132,0.221,21 Guns
1,36,112,April 30th 2016,22.47,252,244,0.759,0.98,11,19,0.02,15.78,177,-113,0.241,21 Guns
1,36,112,May 31st 2016,23.45,263,225,0.779,1.34,15,24,0.025,17.12,192,-89,0.266,21 Guns
1,36,112,June 30th 2016,24.79,278,201,0.804,1.43,16,21,0.021,18.55,208,-68,0.288,21 Guns
1,36,112,July 31st 2016,26.22,294,180,0.826,0.98,11,5,0.006,19.53,219,-63,0.293,21 Guns
1,36,112,August 31st 2016,27.2,305,175,0.831,0.18,2,0,0,19.71,221,-63,0.294,21 Guns
1,36,112,September 30th 2016,27.37,307,175,0.832,0,0,-7,-0.006,19.71,221,-70,0.288,21 Guns
1,36,112,October 31st 2016,27.37,307,182,0.826,0,0,-6,-0.005,19.71,221,-76,0.283,21 Guns
1,36,112,November 30th 2016,27.37,307,188,0.821,0,0,-12,-0.011,19.71,221,-88,0.272,21 Guns
1,36,112,December 31st 2016,27.37,307,200,0.81,0,0,-11,-0.009,19.71,221,-99,0.263,21 Guns
1,36,112,January 31st 2017,27.37,307,211,0.801,0,0,-5,-0.004,19.71,221,-104,0.259,21 Guns
1,36,112,February 28th 2017,27.37,307,216,0.797,0.09,1,-7,-0.006,19.8,222,-111,0.253,21 Guns
1,36,112,March 31st 2017,27.46,308,223,0.791,0,0,-18,-0.016,19.8,222,-129,0.236,21 Guns
1,36,112,April 30th 2017,27.46,308,241,0.774,0,0,-7,-0.006,19.8,222,-136,0.23,21 Guns
1,36,112,May 31st 2017,27.46,308,248,0.768,2.23,25,36,0.034,22.02,247,-100,0.264,21 Guns
1,36,112,June 30th 2017,29.69,333,212,0.802,1.52,17,19,0.018,23.54,264,-81,0.283,21 Guns
1,36,112,July 31st 2017,31.21,350,193,0.821,1.25,14,19,0.018,24.79,278,-62,0.301,21 Guns
1,36,112,August 31st 2017,32.46,364,174,0.839,1.78,20,19,0.018,26.57,298,-43,0.319,21 Guns
1,36,112,September 30th 2017,34.24,384,155,0.856,0,0,-1,0.001,26.57,298,-44,0.32,21 Guns
1,36,112,October 31st 2017,34.24,384,156,0.858,0,0,-6,-0.004,26.57,298,-50,0.316,21 Guns
1,36,112,November 30th 2017,34.24,384,162,0.854,0,0,-7,-0.006,26.57,298,-57,0.31,21 Guns
1,36,112,December 31st 2017,34.24,384,169,0.848,0,0,-6,-0.005,26.57,298,-63,0.305,21 Guns
1,36,112,January 31st 2018,34.24,384,175,0.843,0,0,-7,-0.006,26.57,298,-70,0.299,21 Guns
1,36,112,February 28th 2018,34.24,384,182,0.837,0,0,-7,-0.006,26.57,298,-77,0.293,21 Guns
1,36,112,March 31st 2018,34.24,384,189,0.831,0,0,-9,-0.008,26.57,298,-86,0.285,21 Guns
1,36,112,April 30th 2018,34.24,384,198,0.823,0,0,-7,-0.002,26.57,298,-93,0.283,21 Guns
1,36,112,May 31st 2018,34.24,384,205,0.821,1.87,21,20,0.018,28.44,319,-73,0.301,21 Guns
1,36,112,June 30th 2018,36.11,405,185,0.839,0,0,-1,0,28.44,319,-74,0.301,21 Guns
1,36,112,July 31st 2018,36.11,405,186,0.839,0,0,-5,-0.004,28.44,319,-79,0.297,21 Guns
1,36,112,August 31st 2018,36.11,405,191,0.834,0,0,-4,-0.003,28.44,319,-83,0.293,21 Guns
1,36,112,September 30th 2018,36.11,405,195,0.831,0,0,-5,-0.004,28.44,319,-88,0.289,21 Guns
1,36,112,October 31st 2018,36.11,405,200,0.827,0,0,-6,-0.005,28.44,319,-94,0.284,21 Guns
1,36,112,November 30th 2018,36.11,405,206,0.822,0,0,-4,-0.003,28.44,319,-98,0.281,21 Guns
1,36,112,December 31st 2018,36.11,405,210,0.819,0,0,-6,-0.005,28.44,319,-104,0.276,21 Guns
1,36,112,January 31st 2019,36.11,405,216,0.814,0,0,-5,-0.004,28.44,319,-109,0.273,21 Guns
1,36,112,February 28th 2019,36.11,405,221,0.811,2.05,23,26,0.027,30.5,342,-83,0.3,21 Guns
1,36,112,March 31st 2019,38.16,428,195,0.838,0,0,-4,-0.003,30.5,342,-87,0.297,21 Guns
1,36,112,April 30th 2019,38.16,428,199,0.835,0,0,-3,-0.002,30.5,342,-90,0.295,21 Guns
1,36,112,May 31st 2019,38.16,428,202,0.833,0,0,-4,-0.002,30.5,342,-94,0.293,21 Guns
1,36,112,June 30th 2019,38.16,428,206,0.831,0,0,-3,-0.002,30.5,342,-97,0.291,21 Guns
1,36,112,July 31st 2019,38.16,428,209,0.829,0,0,-5,-0.004,30.5,342,-102,0.287,21 Guns
1,36,112,August 31st 2019,38.16,428,214,0.825,0,0,-7,-0.005,30.5,342,-109,0.282,21 Guns
1,36,112,September 30th 2019,38.16,428,221,0.82,0,0,-4,-0.002,30.5,342,-113,0.28,21 Guns
1,36,112,October 31st 2019,38.16,428,225,0.818,0,0,-1,0,30.5,342,-114,0.279,21 Guns
1,36,112,November 30th 2019,38.16,428,226,0.817,0,0,-3,0.005,30.5,342,-117,0.284,21 Guns
1,36,112,December 31st 2019,38.16,428,229,0.822,0,0,0,0.001,30.5,342,-117,0.285,21 Guns
1,36,112,January 31st 2020,38.16,428,229,0.823,0,0,-1,0,30.5,342,-118,0.285,21 Guns
1,36,112,February 29th 2020,38.16,428,230,0.823,0,0,-5,-0.003,30.5,342,-123,0.281,21 Guns
1,36,112,March 31st 2020,38.16,428,235,0.819,0,0,-5,0.001,30.5,342,-128,0.282,21 Guns
1,36,112,April 30th 2020,38.16,428,240,0.82,0,0,-1,0.005,30.5,342,-129,0.287,21 Guns
1,36,112,May 31st 2020,38.16,428,241,0.825,1.87,21,20,0.019,32.37,363,-109,0.305,21 Guns
1,36,112,June 30th 2020,40.04,449,221,0.843,2.05,23,26,0.022,34.42,386,-83,0.327,21 Guns
1,36,112,July 31st 2020,42.09,472,195,0.865,0,0,-3,0.001,34.42,386,-86,0.329,21 Guns
1,36,112,August 31st 2020,42.09,472,198,0.867,0,0,-5,0,34.42,386,-91,0.328,21 Guns
1,36,112,September 30th 2020,42.09,472,203,0.866,0,0,-1,0.002,34.42,386,-92,0.33,21 Guns
1,36,112,October 31st 2020,42.09,472,204,0.868,0,0,-2,0.001,34.42,386,-94,0.331,21 Guns
1,36,112,November 30th 2020,42.09,472,206,0.869,0,0,-2,0.003,34.42,386,-96,0.334,21 Guns
1,36,112,December 31st 2020,42.09,472,208,0.872,0,0,0,0.003,34.42,386,-96,0.337,21 Guns
1,36,112,January 31st 2021,42.09,472,208,0.875,0,0,0,0.003,34.42,386,-96,0.34,21 Guns
