NumberOfMonths,Artist,Album,SongName,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,LongestStreak,CurrentStreak
9,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Afterglow [2],Afterglow [2],Afterglow [2],Afterglow [2],Afterglow [2],Afterglow [2],Afterglow [2],Afterglow [2],Afterglow [2],9,9
14,6,Noah Kahan,I Was / I Am,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animal [3],Animal [3],Animal [3],Animal [3],Animal [3],Animal [3],Animal [3],Animal [3],Animal [3],Animal [3],Animal [3],Animal [3],Animal [3],Animal [3],14,14
13,5,Arlo Parks,Super Sad Generation - EP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cola,Cola,Cola,Cola,Cola,Cola,Cola,Cola,Cola,Cola,Cola,Cola,Cola,13,13
7,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Falling [2],Falling [2],Falling [2],Falling [2],Falling [2],Falling [2],Falling [2],7,7
8,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Godlight,Godlight,Godlight,Godlight,Godlight,Godlight,Godlight,Godlight,8,8
9,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Going On,Going On,Going On,Going On,Going On,Going On,Going On,Going On,Going On,9,9
18,10,Balu Brigada,How It Would End - Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,18,18
8,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,illicit affairs,illicit affairs,illicit affairs,illicit affairs,illicit affairs,illicit affairs,illicit affairs,illicit affairs,8,8
67,18,Daft Punk,Random Access Memories,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),NA,Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),NA,Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),NA,Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),NA,NA,NA,Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),NA,Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),NA,Instant Crush (feat. Julian Casablancas),NA,Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),NA,Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),18,7
13,5,Devon Cole,Party For One,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July for the Whole Year,July for the Whole Year,July for the Whole Year,July for the Whole Year,July for the Whole Year,NA,July for the Whole Year,July for the Whole Year,July for the Whole Year,July for the Whole Year,July for the Whole Year,July for the Whole Year,July for the Whole Year,July for the Whole Year,8,8
